m,step,physical_time,omega_pe_t,kvn_physical_dt,rk4_dt,relative_error
2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.975185951049945210e-01,3.886864024257769695e-03,0.000000000000000000e+00
2.000000000000000000e+00,1.000000000000000000e+00,4.975185951049945210e-01,4.975185951049945765e-02,4.975185951049945210e-01,3.886864024257769695e-03,1.007668724884980792e-02
2.000000000000000000e+00,2.000000000000000000e+00,9.950371902099890420e-01,9.950371902099891530e-02,4.975185951049945210e-01,3.886864024257769695e-03,1.998580921789399820e-02
2.000000000000000000e+00,3.000000000000000000e+00,1.492555785314983563e+00,1.492555785314983730e-01,4.975185951049945210e-01,3.886864024257769695e-03,2.966850223493119193e-02
2.000000000000000000e+00,4.000000000000000000e+00,1.990074380419978084e+00,1.990074380419978306e-01,4.975185951049945210e-01,3.886864024257769695e-03,3.907285097204239721e-02
2.000000000000000000e+00,5.000000000000000000e+00,2.487592975524972605e+00,2.487592975524972605e-01,4.975185951049945210e-01,3.886864024257769695e-03,4.815456101655219562e-02
2.000000000000000000e+00,6.000000000000000000e+00,2.985111570629967126e+00,2.985111570629967459e-01,4.975185951049945210e-01,3.886864024257769695e-03,5.687733453624268382e-02
2.000000000000000000e+00,7.000000000000000000e+00,3.482630165734961647e+00,3.482630165734961758e-01,4.975185951049945210e-01,3.886864024257769695e-03,6.521300457162580722e-02
2.000000000000000000e+00,8.000000000000000000e+00,3.980148760839956168e+00,3.980148760839956612e-01,4.975185951049945210e-01,3.886864024257769695e-03,7.314147793708500322e-02
2.000000000000000000e+00,9.000000000000000000e+00,4.477667355944950245e+00,4.477667355944950356e-01,4.975185951049945210e-01,3.886864024257769695e-03,8.065052441627328095e-02
2.000000000000000000e+00,1.000000000000000000e+01,4.975185951049945210e+00,4.975185951049945210e-01,4.975185951049945210e-01,3.886864024257769695e-03,8.773543492503479979e-02
2.000000000000000000e+00,1.100000000000000000e+01,5.472704546154939287e+00,5.472704546154939509e-01,4.975185951049945210e-01,3.886864024257769695e-03,9.439855746896611000e-02
2.000000000000000000e+00,1.200000000000000000e+01,5.970223141259934252e+00,5.970223141259934918e-01,4.975185951049945210e-01,3.886864024257769695e-03,1.006487101021744240e-01
2.000000000000000000e+00,1.300000000000000000e+01,6.467741736364928329e+00,6.467741736364929217e-01,4.975185951049945210e-01,3.886864024257769695e-03,1.065004665217978985e-01
2.000000000000000000e+00,1.400000000000000000e+01,6.965260331469923294e+00,6.965260331469923516e-01,4.975185951049945210e-01,3.886864024257769695e-03,1.119733128683519513e-01
2.000000000000000000e+00,1.500000000000000000e+01,7.462778926574917371e+00,7.462778926574917815e-01,4.975185951049945210e-01,3.886864024257769695e-03,1.170906829581586650e-01
2.000000000000000000e+00,1.600000000000000000e+01,7.960297521679912336e+00,7.960297521679913224e-01,4.975185951049945210e-01,3.886864024257769695e-03,1.218788918051535997e-01
2.000000000000000000e+00,1.700000000000000000e+01,8.457816116784906413e+00,8.457816116784906413e-01,4.975185951049945210e-01,3.886864024257769695e-03,1.263660015622543875e-01
2.000000000000000000e+00,1.800000000000000000e+01,8.955334711889900490e+00,8.955334711889900712e-01,4.975185951049945210e-01,3.886864024257769695e-03,1.305806674018928637e-01
2.000000000000000000e+00,1.900000000000000000e+01,9.452853306994894567e+00,9.452853306994895011e-01,4.975185951049945210e-01,3.886864024257769695e-03,1.345510210195347833e-01
2.000000000000000000e+00,2.000000000000000000e+01,9.950371902099890420e+00,9.950371902099890420e-01,4.975185951049945210e-01,3.886864024257769695e-03,1.383036545563426645e-01
2.000000000000000000e+00,2.100000000000000000e+01,1.044789049720488450e+01,1.044789049720488583e+00,4.975185951049945210e-01,3.886864024257769695e-03,1.418627667450176599e-01
