omega_pe_t,relative_error_R3,relative_error_R5,relative_error_R7,relative_error_R9
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.975185951049945071e-02,4.887149953851778442e-08,4.540264163262336157e-13,5.627750097249720675e-14,7.878610144590996480e-13
9.950371902099890142e-02,9.982116279913033199e-08,9.051886242500875857e-13,1.124021796666004259e-13,1.578405635978957068e-12
1.492555785314983730e-01,1.546722353783444736e-07,1.350278218238553338e-12,1.676775176934654679e-13,2.372867294405541866e-12
1.990074380419978028e-01,2.149687568839052038e-07,1.786377498672379841e-12,2.218961139479182913e-13,3.171440283871907305e-12
2.487592975524972605e-01,2.819054737475537491e-07,2.211865832467444024e-12,2.748941973640455989e-13,3.973075411013264470e-12
2.985111570629967459e-01,3.563126888647365733e-07,2.624646453783481006e-12,3.259322513376620130e-13,4.776989767372265554e-12
3.482630165734961758e-01,4.386793778861175600e-07,3.023665995240592074e-12,3.755070939575767650e-13,5.580410366724618845e-12
3.980148760839956057e-01,5.291958944499131788e-07,3.408321161473908729e-12,4.231327521622383654e-13,6.380735199158638761e-12
4.477667355944950356e-01,6.278027258955181540e-07,3.778469463436381627e-12,4.689601279611970607e-13,7.174603151988754586e-12
4.975185951049945210e-01,7.342380307847575924e-07,4.135000611579190863e-12,5.132532604795327195e-13,7.957491808323666959e-12
5.472704546154939509e-01,8.480811230930133284e-07,4.479133653731801308e-12,5.557022946933365376e-13,8.725932074936959936e-12
5.970223141259934918e-01,9.687913381431996725e-07,4.813488836530107766e-12,5.971006016700371593e-13,9.475287715250626761e-12
6.467741736364929217e-01,1.095742532971688738e-06,5.140921920675424805e-12,6.376434788230665094e-13,1.020146005154609635e-11
6.965260331469923516e-01,1.228253560679431862e-06,5.464834276455784053e-12,6.775002643116191860e-13,1.090184862803397656e-11
7.462778926574917815e-01,1.365614928660864469e-06,5.788842488834911607e-12,7.176259260108314834e-13,1.157254593172772212e-11
7.960297521679912114e-01,1.507111713851996104e-06,6.117170166746766235e-12,7.584783136871553884e-13,1.221199858370423746e-11
8.457816116784907523e-01,1.652042763293853973e-06,6.453549683001625749e-12,8.003486004410177425e-13,1.281873826505623424e-11
8.955334711889900712e-01,1.799736239323275587e-06,6.801682514147015140e-12,8.438466505462306853e-13,1.339151113150544674e-11
9.452853306994896121e-01,1.949561664498553636e-06,7.164474966999885658e-12,8.892450628555280734e-13,1.393040662913643649e-11
9.950371902099890420e-01,2.100938725025152907e-06,7.544855673231699241e-12,9.370178764046800742e-13,1.443601747844414730e-11
1.044789049720488583e+00,2.253343198587032253e-06,7.944237579725660118e-12,9.875757400880961520e-13,1.490939422315892715e-11
1.094540909230987902e+00,2.406310443367694909e-06,8.363683224012023237e-12,1.040592524850379825e-12,1.535127949285570821e-11
1.144292768741487443e+00,2.559436934775760997e-06,8.803673662057526512e-12,1.096616287882158760e-12,1.576419457204970314e-11
1.194044628251986984e+00,2.712380331547556378e-06,9.263346506135749623e-12,1.155019004814557185e-12,1.614908925120783856e-11
1.243796487762486302e+00,2.864858544126289917e-06,9.742077972982399925e-12,1.215958310686976240e-12,1.650881864628626072e-11
1.293548347272985843e+00,3.016648202536392712e-06,1.023874230976097616e-11,1.279472290580027516e-12,1.684536177498930869e-11
1.343300206783485162e+00,3.167582870981986763e-06,1.075147241456399476e-11,1.344927719867217783e-12,1.716080746002630589e-11
1.393052066293984703e+00,3.317551249278847781e-06,1.127861084505947783e-11,1.412122875878017777e-12,1.745762483589440330e-11
1.442803925804484244e+00,3.466495514191333947e-06,1.181796868644992009e-11,1.481050819908737769e-12,1.773739979933782881e-11
1.492555785314983563e+00,3.614409859319158992e-06,1.236783823686509660e-11,1.551436360886335235e-12,1.800295862679344740e-11
1.542307644825482882e+00,3.761339188508994118e-06,1.292644231848142230e-11,1.623128132449113715e-12,1.825638988050488158e-11
1.592059504335982423e+00,3.907377843390469745e-06,1.349169578943276763e-11,1.695478641375972443e-12,1.849926469992461949e-11
1.641811363846481964e+00,4.052668168017800302e-06,1.406203623804282514e-11,1.768287363470337812e-12,1.873407928414307254e-11
1.691563223356981505e+00,4.197398655929437954e-06,1.463629595910011425e-11,1.841892712053187054e-12,1.896296679120197624e-11
1.741315082867480823e+00,4.341801392011775083e-06,1.521305830500670416e-11,1.915800010141210859e-12,1.918813787286342060e-11
1.791066942377980142e+00,4.486148492443589734e-06,1.579163258395806322e-11,1.990236363014499202e-12,1.941170823151214787e-11
1.840818801888479683e+00,4.630747248730852063e-06,1.637031043329317205e-11,2.064237492008770739e-12,1.963540977808728372e-11
1.890570661398979224e+00,4.775933739761107360e-06,1.694900206211618391e-11,2.138505740657924664e-12,1.986187739422063557e-11
1.940322520909478765e+00,4.922064728585878094e-06,1.752684422370223085e-11,2.212394992337100270e-12,2.009328052185627876e-11
1.990074380419978084e+00,5.069507775039338175e-06,1.810365991000749638e-11,2.286288493338357773e-12,2.033205495367965925e-11
2.039826239930477847e+00,5.218629604873979313e-06,1.867875243977880297e-11,2.359776474023179115e-12,2.058025015894215096e-11
2.089578099440977166e+00,5.369782929915183566e-06,1.925198200001743710e-11,2.432973192246261486e-12,2.084034947912768442e-11
2.139329958951476041e+00,5.523292052851205101e-06,1.982321884499834354e-11,2.505920575026799983e-12,2.111431019828599659e-11
2.189081818461975804e+00,5.679437749068960156e-06,2.039272561734110480e-11,2.578744602081906373e-12,2.140441564356985305e-11
2.238833677972475122e+00,5.838442044444551184e-06,2.096013097009468975e-11,2.651418916231848157e-12,2.171241540562697716e-11
2.288585537482974885e+00,6.000453624956080701e-06,2.152467676774697634e-11,2.723361526713223013e-12,2.203916941882241824e-11
2.338337396993474204e+00,6.165534672879818285e-06,2.208693297838416631e-11,2.795153358291615824e-12,2.238601381745054069e-11
2.388089256503973967e+00,6.333649946604021242e-06,2.264638173537163164e-11,2.866326692136446360e-12,2.275288993166295514e-11
2.437841116014473286e+00,6.504658899237533281e-06,2.320296162629586976e-11,2.937426320158258868e-12,2.314017147471478100e-11
2.487592975524972605e+00,6.678311533163936754e-06,2.375597089569376994e-11,3.007928412735786440e-12,2.354615692423787519e-11
2.537344835035472368e+00,6.854248578692255662e-06,2.430514340012746570e-11,3.077778174086240471e-12,2.396949238492247820e-11
2.587096694545971687e+00,7.032006406682112582e-06,2.485019549839044860e-11,3.147220694305405525e-12,2.440832711295820112e-11
2.636848554056471006e+00,7.211026901780314849e-06,2.539066827027735881e-11,3.216200886419089081e-12,2.485927748205449275e-11
2.686600413566970325e+00,7.390672312552228808e-06,2.592601381012499512e-11,3.284513001544768904e-12,2.531877938107357377e-11
2.736352273077469643e+00,7.570244876945840727e-06,2.645590251300983348e-11,3.352136595046240634e-12,2.578229535378701930e-11
2.786104132587969406e+00,7.749010800730272896e-06,2.697986898209719314e-11,3.418969390699680791e-12,2.624531851193334558e-11
2.835855992098468725e+00,7.926227945682825089e-06,2.749810359512030262e-11,3.484850314374732377e-12,2.670230175952423313e-11
2.885607851608968488e+00,8.101176366921693467e-06,2.801052761112675824e-11,3.550164403616316110e-12,2.714826548170094734e-11
2.935359711119467807e+00,8.273190623150160537e-06,2.851787912626708717e-11,3.615043878094410907e-12,2.757807494900622193e-11
2.985111570629967126e+00,8.441692588962991552e-06,2.902024097823689476e-11,3.678749924341334221e-12,2.798595006233277982e-11
3.034863430140466889e+00,8.606223312155754685e-06,2.951862041734236208e-11,3.742078773637627316e-12,2.836712971343329232e-11
3.084615289650965764e+00,8.766472309123391605e-06,3.001406423265878558e-11,3.805005185388368858e-12,2.871752383852496199e-11
3.134367149161465527e+00,8.922302604486058658e-06,3.050900798553164408e-11,3.868005456425869379e-12,2.903360153045300025e-11
